name,brand,description,image_url,product_page_url
AMPHIBIA 3000 GRIP,Volteco,"Membrana impermeabile multistrato idro-reattiva autoagganciante, autoriparante e autosigillante per applicazione pre-getto.

Vantaggi:
1. Impermeabilità assoluta con nessuna migrazione laterale dell'acqua
2. Protezione meccanica immediata, autoriparante anche su fori accidentali
3. Elevata resistenza al carico idraulico
4. Elevata flessibilità e capacità di fare ponte sulle fessure",https://volteco.com/wp-content/uploads/2025/02/complessiva_3000_grip.png,https://volteco.com/it/prodotti/amphibia-3000-grip
AQUASCUD REFLEX,Volteco,"Rivestimento elastico e impermeabilizzante, privo di solventi, pronto all'uso, dotato di elevato valore di riflettanza solare

Vantaggi:
1. Abbassa sensibilmente la temperatura della superficie rivestita, riduce notevolmente il calore che penetra nell’ambiente migliorandone il comfort abitativo
2. Riduce il consumo energetico necessario per il raffrescamento dell’ambiente
3. Soddisfa pienamente il D.M. 24 dic. 2015 che stabilisce l'SRI >75 su coperture con pendenze <15%
4. Ottima resistenza ai raggi U.V.",https://volteco.com/wp-content/uploads/2024/05/AQ_REFLEX_2024.png,https://volteco.com/it/prodotti/aquascud-reflex
AQUASCUD SYSTEM 420,Volteco,"Impermeabilizzante bicomponente elastico, dotato di core curing technology per un'efficace maturazione anche in condizioni di basse temperature e supporti parzialmente umidi, ideale per impermeabilizzare terrazzi, balconi e coperture piane.

Vantaggi:
1. Maturazione rapida anche in condizioni di bassa temperatura (tutto in 24 ore)
2. Consente di impermeabilizzare senza demolire
3. Resistente ai raggi U.V.
4. Basso impatto ambientale, grazie a ridotte emissioni di CO₂, bassissime emissioni di Componenti Organici Volatili (VOC), componenti ottenuti da processi di riciclo",https://volteco.com/wp-content/uploads/2024/11/AQUASCUD_420_vaso_sac_2024.png,https://volteco.com/it/prodotti/aquascud-system-420
AQUASCUD SYSTEM 430,Volteco,"Impermeabilizzante bicomponente elastico, ideale per impermeabilizzare terrazzi, balconi e coperture piane.

Vantaggi:
1. Mantiene la propria deformabilità fino -20°C
2. Consente di impermeabilizzare senza demolire.
3. Resistente ai raggi U.V.
4. Basso impatto ambientale, grazie a ridotte emissioni di CO₂, bassissime emissioni di Componenti Organici Volatili (VOC), componenti ottenuti da processi di riciclo",https://volteco.com/wp-content/uploads/2024/11/AQUASCUD_430_vaso_sac_2024.png,https://volteco.com/it/prodotti/aquascud-system-430
PLASTIVO 180,Volteco,"Rivestimento impermeabile polimero modificato bicomponente, tixotropico e flessibile, con core curing technology per un'efficace maturazione anche in condizioni di basse temperature e supporti parzialmente umidi.

Vantaggi:
1. Maturazione rapida che consente tempi di attesa brevi fra prima e seconda mano e successiva piastrellatura, anche in condizioni di bassa temperatura (tutto in 24 ore)
2. Efficace maturazione su sottofondi anche parzialmente umidi
3. Idoneo al contatto con acque potabili
4. Protezione anticarbonatazione con funzione ""barriera""",https://volteco.com/wp-content/uploads/2024/11/PLASTIVO_180_vaso_sac_2024.png,https://volteco.com/it/prodotti/plastivo-180
PLASTIVO 250,Volteco,"Rivestimento impermeabile, polimero modificato, bicomponente ad elevata flessibilità.Versatilità d'impiego per l'impermeabilizzazione di superfici sottoposte a spinta idrostatica sia positiva che negativa.

Vantaggi:
1. Elevata flessibilità
2. Idoneo al contatto con acque potabili
3. Idoneo al contatto con acque di depuratori e reflui civili
4. Protegge le superfici in calcestruzzo dalla CO₂ (Carbonatazione)",https://volteco.com/wp-content/uploads/2024/11/PLASTIVO_250__vas_sac_2024.png,https://volteco.com/it/prodotti/plastivo-250
BI MORTAR ULTRA SEAL,Volteco,"Rasante ancorante multifunzione

Vantaggi:
1. Elevata adesione su diversi supporti: garantisce un'ottima presa su calcestruzzo indurito o non stagionato, asciutto o umido, su massetti anche lisciati, pavimentazioni in ceramica o gres, pietre naturali e intonaci, vecchi rivestimenti opportunamente puliti
2. Compatibile con rivestimenti successivi: permette la ricopertura con resine acriliche, epossidiche, poliuretaniche e rivestimenti cementizi
3. Migliora la preparazione del sottofondo: regola l'assorbimento del supporto ed elimina la polverosità delle superfici cementizie, ottimizzando l'adesione dei successivi strati
4. Versatilità di applicazione: può essere additivato con sabbia di quarzo per aumentarne la resistenza meccanica e lo spessore di applicazione",https://volteco.com/wp-content/uploads/2025/04/BI_MORTAR_Ultra_Seal_op.png,https://volteco.com/it/prodotti/bi-mortar-ultra-seal
BI MORTAR CONCRETE SEAL,Volteco,"Impermeabilizzante cementizio a reticolazione cristallina. Realizza un rivestimento continuo che impedisce la penetrazione dell'acqua anche in pressione negativa.

Vantaggi:
1. Indicato sia per uso interno che esterno
2. Particolarmente resistente all'abrasione e agli urti
3. Idoneo al contatto continuo con l'acqua
4. Facile maturazione anche in condizioni di forte umidità e ambienti chiusi",https://volteco.com/wp-content/uploads/2024/05/BI_MORTAR_CS_sacco_2024.png,https://volteco.com/it/prodotti/bi-mortar-concrete-seal
BI MORTAR LEVELLING SEAL,Volteco,"Betoncino colabile, a ritiro compensato, con caratteristiche di impermeabilità e alta resistenza

Vantaggi:
1. Semplifica e riduce le fasi applicative in quanto rinforza ed impermeabilizza in unica applicazione
2. Ancoraggi ad alta resistenza
3. Elevate resistenze meccaniche
4. Indicato sia per uso interno che esterno",https://volteco.com/wp-content/uploads/2024/11/BI_MORTAR_LS_CONF_DEF.png,https://volteco.com/it/prodotti/bi-mortar-levelling-seal
BI MORTAR PLASTER SEAL,Volteco,"Intonaco fibrorinforzato di rivestimento con funzione impermeabile adatto per regolarizzare sia murature miste che in calcestruzzo armato.

Vantaggi:
1. Semplifica e riduce le fasi applicative in quanto regolarizza ed impermeabilizza in unica applicazione
2. Applicabile anche su supporti irregolari
3. Ottimo aggrappo
4. Ottima resistenza in spinta negativa",https://volteco.com/wp-content/uploads/2025/04/BI_MORTAR_PS_sacco_2024.png,https://volteco.com/it/prodotti/bi-mortar-plaster-seal
