nome_prodotto,marca,descrizione,url_immagine
"Punta EXPERT HEX-9 Hard Ceramic Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti, Per avvitatori a impulsi",Bosch,"Lunga durata nella foratura delle piastrelle dure
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata
Codolo esagonale per un collegamento saldo e la massima trasmissione della coppia nei mandrini a tre ganasce e nei portautensili a esagono interno da ¼""",https://www.bosch-professional.com/it/it/ocsmedia/353049-82/product-image/720x410/punta-expert-hex-9-hard-ceramic-2867225.png
"Mecchia a spada EXPERT Self Cut Speed Per trapani/avvitatori rotanti, Per trapani a percussione/avvitatori a impulsi",Bosch,"Foratura nel legno a elevata velocità
La foratura  rapida è più facile con Bosch Tip Technology
Filettatura autoalimentata per foratura ad alta velocità con una pressione ridotta
Codolo esagonale resistente agli urti da 1/4"" per l'uso con avvitatore a impulsi e trapano avvitatore",https://www.bosch-professional.com/it/it/ocsmedia/352625-82/product-image/720x410/mecchia-a-spada-expert-self-cut-speed-2867207.png
Punta per martelli EXPERT SDS plus-7X Per martelli perforatori,Bosch,"Lunga durata per la foratura del calcestruzzo armato
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS plus",https://www.bosch-professional.com/it/it/ocsmedia/344207-82/product-image/720x410/punta-per-martelli-expert-sds-plus-7x-2867204.png
"Punta EXPERT CYL-9 Multi Construction Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti",Bosch,"Elevata precisione nella foratura di diversi materiali
Foratura semplificata grazie alla Bosch Centering Geometry
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata
Codolo cilindrico compatibile con mandrini a tre ganasce",https://www.bosch-professional.com/it/it/ocsmedia/347819-82/product-image/720x410/punta-expert-cyl-9-multi-construction-2867205.png
"Set di punte EXPERT HEX-9 Hard Ceramic Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti, Per avvitatori a impulsi",Bosch,"Lunga durata nella foratura delle piastrelle dure
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata",https://www.bosch-professional.com/it/it/ocsmedia/353069-82/product-image/720x410/set-di-punte-expert-hex-9-hard-ceramic-2868966.png
"Set di mecchie a spada EXPERT Self Cut Speed Per trapani/avvitatori rotanti, Per trapani a percussione/avvitatori a impulsi",Bosch,"Foratura nel legno a elevata velocità
La foratura  rapida è più facile con Bosch Tip Technology
Filettatura autoalimentata per foratura ad alta velocità con una pressione ridotta",https://www.bosch-professional.com/it/it/ocsmedia/352662-82/product-image/720x410/set-di-mecchie-a-spada-expert-self-cut-speed-2868960.png
Set di punte per martelli EXPERT SDS plus-7X Per martelli perforatori,Bosch,"Lunga durata per la foratura del calcestruzzo armato
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro",https://www.bosch-professional.com/it/it/ocsmedia/347897-82/product-image/720x410/set-di-punte-per-martelli-expert-sds-plus-7x-2868963.png
"Set di punte EXPERT CYL-9 Multi Construction Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti",Bosch,"Elevata precisione nella foratura di diversi materiali
Foratura semplificata grazie alla Bosch Centering Geometry
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata",https://www.bosch-professional.com/it/it/ocsmedia/353089-82/product-image/720x410/set-di-punte-expert-cyl-9-multi-construction-2868969.png
Punta per cerniere EXPERT Laminated Wood Per trapani a colonna,Bosch,"Foratura di lunga durata del legno lamellare
Eccezionale durata garantita da Bosch Carbide Technology
Punta in metallo duro ad alte prestazioni realizzata con smerigliatura fine
Codolo cilindrico compatibile con mandrini a tre ganasce",https://www.bosch-professional.com/it/it/ocsmedia/469531-82/product-image/720x410/punta-per-cerniere-expert-laminated-wood-7395269.png
Punta per martelli EXPERT SDS max-8X Per martelli perforatori,Bosch,"Lunga durata per la foratura del calcestruzzo armato
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS max",https://www.bosch-professional.com/it/it/ocsmedia/352582-82/product-image/720x410/punta-per-martelli-expert-sds-max-8x-2867203.png
"Punta EXPERT HEX-9 Multi Construction Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti, Per avvitatori a impulsi",Bosch,"Elevata precisione nella foratura di diversi materiali
Foratura semplificata grazie alla Bosch Centering Geometry
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata
Codolo esagonale per un collegamento saldo e la massima trasmissione della coppia nei mandrini a tre ganasce e nei portautensili a esagono interno da ¼""",https://www.bosch-professional.com/it/it/ocsmedia/349467-82/product-image/720x410/punta-expert-hex-9-multi-construction-2867206.png
Set di punte per cerniere EXPERT Laminated Wood Per trapani a colonna,Bosch,"Foratura di lunga durata del legno lamellare
Eccezionale durata garantita da Bosch Carbide Technology
Punta in metallo duro ad alte prestazioni realizzata con smerigliatura fine",https://www.bosch-professional.com/it/it/ocsmedia/480146-82/product-image/720x410/set-di-punte-per-cerniere-expert-laminated-wood-15-20-25-30-35-x-60-x-90-mm-5-pz-2608901844.png
Punta per martelli EXPERT SDS Clean plus-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS plus",https://www.bosch-professional.com/it/it/ocsmedia/414840-82/product-image/720x410/punta-per-martelli-expert-sds-clean-plus-8x-3043892.png
"Set di punte EXPERT HEX-9 Multi Construction Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti, Per avvitatori a impulsi",Bosch,"Elevata precisione nella foratura di diversi materiali
Foratura semplificata grazie alla Bosch Centering Geometry
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata",https://www.bosch-professional.com/it/it/ocsmedia/418450-82/product-image/720x410/set-di-punte-expert-hex-9-multi-construction-2867890.png
Set di punte per martelli EXPERT SDS Clean plus-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS plus",https://www.bosch-professional.com/it/it/ocsmedia/414833-82/product-image/720x410/set-di-punte-per-martelli-expert-sds-clean-plus-8x-3043871.png
Punta per martelli EXPERT SDS Clean plus-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS plus",https://www.bosch-professional.com/it/it/ocsmedia/414890-82/product-image/720x410/punta-per-martelli-expert-sds-clean-plus-8x-3043894.png
Set di punte per martelli EXPERT SDS Clean plus-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro",https://www.bosch-professional.com/it/it/ocsmedia/414886-82/product-image/720x410/set-di-punte-per-martelli-expert-sds-clean-plus-8x-3043884.png
Punta per martelli EXPERT SDS Clean max-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro
Si adatta con tutti i martelli perforatori con attacco SDS max",https://www.bosch-professional.com/it/it/ocsmedia/414938-82/product-image/720x410/punta-per-martelli-expert-sds-clean-max-8x-3043896.png
Set di punte per martelli EXPERT SDS Clean max-8X Per martelli perforatori,Bosch,"Foratura con elevata riduzione della polvere nel calcestruzzo armato
Asportazione della polvere altamente efficiente con Bosch Particle Control
Foratura del calcestruzzo armato con una testa a 4 taglienti integralmente in metallo duro",https://www.bosch-professional.com/it/it/ocsmedia/414934-82/product-image/720x410/set-di-punte-per-martelli-expert-sds-clean-max-8x-3043888.png
"Set di punte EXPERT HEX-9 Hard Ceramic e Multi Construction Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti, Per avvitatori a impulsi",Bosch,"Lunga durata nella ceramica dura e precisione nei materiali da costruzione
Bosch Carbide Technology assicura punte eccezionalmente durevoli
Avviare fori con precisione grazie a una punta di centraggio appositamente progettata",https://www.bosch-professional.com/it/it/ocsmedia/418446-82/product-image/720x410/set-di-punte-expert-hex-9-hard-ceramic-e-multi-construction-3087120.png
