nome_prodotto,marca,descrizione,immagine,url
FITT Jantis ACT,FITT,"FITT Jantis Act è un tubo per l'irrigazione retinato, composto da PVC riciclato senza ftalati. Ideale per l'impiego intensivo e prolungato grazie alla sua robustezza e al suo rinforzo retinato, che gli attribuisce un'ottima resistenza alla pressione dell'acqua.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/7351b227-81b1-4fc8-bf8a-4e4ad329fd0b/image/FITT_Jantis_ACT?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_jantis_act/
FITT Jantis EVO,FITT,"FITT Jantis Evo è la nuova innovazione di FITT: un tubo per l'irrigazione facile da utilizzare con tecnologia NTS, che garantisce l'assenza di nodi e torsioni, in PVC riciclato senza ftalati. Grazie all'impiego di un processo produttivo all'avanguardia, FITT Jantis Evo è un tubo da giardino che garantisce delle elevate prestazioni tecniche. Ideale per l'impiego quotidiano e anche prolungato in orti, giardini e per tutte le attività di pulizia all'esterno.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/508c7f01-bdbe-4b65-8c21-0b00a8ca856f/image/FITT_Jantis_EVO?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_jantis_evo/
FITT NTS Red Kit,FITT,"Tubo di colore rosso brillante per Irrigazione da Giardino, Robusto e Malleabile, per Uso Intensivo, con Pistola Multigetto e Raccordi, con Tecnologie NTS e SKY TECH.",https://fitt-cdn.thron.com/delivery/public/image/fitt/fc7cc3e5-ebb7-4e4e-83ed-2aa3a2ad109c/pf4brg/std/1000x0/FITT%20NTS%20Red%20Render.jpg,https://www.fitt.com/it/product/fitt_ntsred_kit/
FITT NTS Red,FITT,"Tubo di colore rosso brillante per Irrigazione da Giardino, Robusto e Malleabile, per Uso Intensivo, con Tecnologie NTS e SKY TECH. Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/fc7cc3e5-ebb7-4e4e-83ed-2aa3a2ad109c/pf4brg/std/1000x0/FITT%20NTS%20Red%20Render.jpg,https://www.fitt.com/it/product/fitt_ntsred/
FITT Cleany 20 bar,FITT,"Progettato per la pulizia nell’industria alimentare e delle aziende agricole, FITT Cleany20 è il prodotto per il passaggio dell’acqua e soluzioni per l’igienizzazione a media e bassa pressione. Ha una elevata resistenza ai componenti chimici aggressivi, ai detergenti per la pulizia e limita la carica batterica grazie agli strati antimicrobici interni ed esterni. Lavora fino a 20 bar di pressione di esercizio a 70°C in continuo.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/88813584-4d72-4127-ba3b-18b8a8c57a88/image/FITT_Cleany_20bar_render?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_cleany_20bar/
FITT Kiuma,FITT,FITT presenta il nuovo tubo da irrigazione che coniuga i benefici di leggerezza e flessibilità dei tubi estensibili con la resistenza dei tubi tradizionali in un’unica soluzione. Grazie all’impiego di tecnologie avanzate e materiali all’avanguardia il tubo mantiene la sua flessibilità a basse temperature e resiste alle pressioni elevate. FITT Kiuma è il tubo da giardino maneggevole e facile da utilizzare ideale per l’utilizzo giornaliero ed intensivo.,https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/756fc911-31c0-4572-9b9d-895fffc37dd4/image/FITT_Kiuma?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_kiuma/
FITT Metalflex BK,FITT,"Ideale per sprayer, FITT Metalflex BK è adatto per il pasaggio di soluzioni anticrittogamiche, pesticidi e fertilizzanti e per irrorazione. Adeguato anche per i compressori.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/a33eba62-b51f-405d-aef8-11e900683b03/image/FITT_MetalflexBK_render?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_metalflex_bk/
FITT Woodtek,FITT,"FITT Woodtek è il tubo ideale per la movimentazione di pellet e granuli. Grazie al sottostrato in PU base estere garantisce un’elevata resistenza all'abrasione. La presenza del filamento di rame garantisce al tubo proprietà antistatiche, eliminando il rischio di accumuli di cariche elettriche.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/115acef2-ec66-4d73-a377-7b32f0993cbd/image/FITT_Woodtek_render?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_woodtek/
FITT Pure Tek,FITT,"FITT Pure Tek è inodore, privo di PVC, atossico e privo di plastificanti; ha una superficie liscia e trasparente. Estremamente flessibile e con un raggio di curvatura ridotto, è resistente e maneggevole grazie alla formulazione TPE e alla maglia NTS Plus. Ha un’elevata resistenza meccanica e una maggiore leggerezza rispetto ai tubi in gomma.",https://fitt-cdn.thron.com/delivery/public/image/fitt/b7f46bad-eaf9-4eec-b523-4a20d25f5d93/pf4brg/std/1000x1000/FITT-Pure-Tek?scalemode=product&format=auto,https://www.fitt.com/it/product/fitt_pure_tek/
FITT Bluforce,FITT,"Grazie all’innovativa tecnologia PVC-A (PVC-HI)*, FITT Bluforce offre massima resistenza, permettendo un significativo abbattimento degli interventi di manutenzione dell’opera finita e quindi l’utilizzo dell’infrastruttura in totale sicurezza. FITT Bluforce potenzia le proprie prestazioni grazie all’impiego di Power Lock, il sistema di giunzione a bicchiere con guarnizione pre-inserita meccanicamente a caldo, che trasforma il tubo in un sistema completo in grado di garantire facilità di montaggio, perfetta funzionalità ed ottimale tenuta nel tempo. Scarica BIMVai al sito dedicatovedi l'app",https://fitt-cdn.thron.com/delivery/public/image/fitt/bf53d11a-ff66-497d-a92f-8d432486109f/pf4brg/std/1000x1000/FITT%20Bluforce.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_bluforce/
