description,brand,image_url,product_page_url,name,price
"Descrizione:
•

Dimensioni:
109 x 5 x 78 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/914.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/paris,Rivestimento moderno Paris,N/A
"Descrizione:
•

Dimensioni:
251 x 123 x 139 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/634.jpeg,https://palazzetti.it/prodotti/rivestimenti/country/courmayeur-totale,Rivestimento country Courmayeur totale,N/A
"Descrizione:
•

Dimensioni:
172 x 40 x 113 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/656.jpeg,https://palazzetti.it/prodotti/rivestimenti/cornice-classica/luigi-xiv,Rivestimento cornice classica Luigi XIV,N/A
"Descrizione:
• struttura in acciaio con rivestimento in metallo
• doppia porta, una estetica ed una tecnica
• vetro ceramico (800°) con sistema di auto pulizia
•
Balanced Door
, porta con sistema autobilanciante
• uscita aria calda superiore
• ventilatore regolabile su più velocità e
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• scambiatore ad alta efficienza a tubi di fumo
• braciere in ghisa
• ampio cassetto di raccolta cenere e sistema
Speedy Clean
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet
• canalizzazione esterna dell’aria comburente

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 8.2 kW
Rendimento alla potenza termica nominale: 87.7 %
Autonomia di funzionamento max: 29 h
Capacità serbatoio di alimentazione: 18 kg
Consumo orario pellet: 0.628 - 1.917 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
53 x 59 x 119 cm - 112 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/variante/399.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/nina-acciaio-bianco-8-2-kw-aria-ventilata-0-speed-fan,Stufa a pellet Ecofire Nina 8 aria,N/A
"Descrizione:
•

Dimensioni:
116 x 20 x 104 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/684.jpeg,https://palazzetti.it/prodotti/rivestimenti/cornice-classica/reims,Rivestimento cornice classica Reims,N/A
"Descrizione:
•
stufa ermetica
con
uscita fumi coassiale superiore
• elegante forma circolare con rivestimento in ceramica
• porta con doppio vetro; quello estetico è un
vetro temprato nero
che diventa trasparente in presenza del fuoco
•
Balanced Door
, porta con sistema autobilanciante
• ventilatore regolabile su più velocità con tecnologia
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• tecnologia T3 a 4 tubi di fumo di diametro maggiorato ad alta efficienza e pulizia semplificata
•
Complete Burning System
: sistema di combustione totale con minima produzione di cenere
•
Self Cleaning System
: esclusivo sistema di pulizia automatica del braciere
• ampio cassetto cenere e sistema
Speedy Clean
di nuova generazione con accesso frontale alla pulizia del giro fumi
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 12 kW
Rendimento alla potenza termica nominale: 90.9 %
Autonomia di funzionamento max: 23 h
Capacità serbatoio di alimentazione: 15 kg
Consumo orario pellet: 0.64 - 2.75 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
65 x 66 x 122 cm - 195 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/48742.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/lilibet-tc-us-ceramica-bianco-mat-tc-12-kw-us-aria-canalizzabile-aria-irraggiamento-aria-ventilata-0-speed-fan,Lilibet TC 12 kW US,N/A
"Descrizione:
•
stufa ermetica
con
uscita fumi coassiale superiore
• rivestimento in acciaio verniciato stondato
• vetro ceramico con sistema di auto pulizia e +37% di visione della fiamma
•
Balanced Door
, porta con sistema autobilanciante
• uscita aria calda frontale
• ventilatore regolabile su più velocità con tecnologia
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• tecnologia T3 a 4 tubi di fumo di diametro maggiorato ad alta efficienza e pulizia semplificata
•
Complete Burning System
: sistema di combustione totale con minima produzione di cenere
•
Self Cleaning System
: esclusivo sistema di pulizia automatica del braciere
• ampio cassetto cenere e sistema
Speedy Clean
di nuova generazione con accesso frontale alla pulizia del giro fumi
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 12 kW
Rendimento alla potenza termica nominale: 90.9 %
Autonomia di funzionamento max: 23 h
Capacità serbatoio di alimentazione: 15 kg
Consumo orario pellet: 0.64 - 2.75 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
59 x 60 x 122 cm - 160 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/46505.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/clelia-tc-us-acciaio-bianco-tc-12-kw-us-aria-ventilata-0-speed-fan,CLELIA TC 12 US,N/A
"Descrizione:
• focolare in
Thermofix
®
• panoramica visione della fiamma su tre lati
• apertura della portina a scorrimento
• pulizia semplificata i due vetri laterali si aprono a battente
• n.2 bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 26.41 kW
Potenza termica nominale: 20 kW
Rendimento alla potenza termica nominale: 75.93 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 3 Stelle

Dimensioni:
104 x 63 x 158 cm - 325 kg

Classe Energetica:
A",Palazzetti,https://cdn.palazzetti.it/website/pim/design/82.jpeg,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-classic/ecomonoblocco-em-16-9-3d-thermofix-20-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco EM16:9 3D aria,N/A
"Descrizione:
•
stufa salvaspazio ermetica
con
uscita fumi superiore coassiale
• rivestimento in acciaio verniciato e vetro
• doppia porta, una estetica ed una tecnica
• vetro ceramico (800°) con sistema di auto pulizia
•
Balanced Door
, porta con sistema autobilanciante
• predisposta con la possibilità di poter canalizzare l’aria calda in altri ambienti
• ventilatore regolabile su più velocità con tecnologia
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• braciere in ghisa
• ampio cassetto di raccolta cenere e sistema
Speedy Clean
• sistema
Quick Start
(riduce i tempi di accensione)
• predisposta anche per uscita fumi posteriore

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 10 kW
Rendimento alla potenza termica nominale: 88 %
Autonomia di funzionamento max: 38 h
Capacità serbatoio di alimentazione: 25 kg
Consumo orario pellet: 0.66 - 2.29 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
90 x 36 x 113 cm - 140 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/2606.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/twiggy-acciaio-caffellatte-10-kw-aria-canalizzabile-0-speed-fan,Stufa a Pellet Ecofire Twiggy 10 aria,N/A
"Descrizione:
•
stufa ermetica
con la possibilità di prelevare l’aria comburente direttamente dall’esterno
• doppia porta, una estetica totalmente in vetro ed una tecnica con sistema
Balanced door
•
gruppo idraulico integrato
composto da circolatore, valvola di sicurezza, vaso di espansione chiuso e manometro
•
valvola anticondensa integrata
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• interfaccia per termostato esterno integrata o per collegamento a puffer
• predisposizione per
Connection Box
•
Complete Burning System
: sistema di combustione totale con minima produzione di cenere
•
Combustion Dynamic Control
: mantiene l’equilibrio tra combustibile e comburente per garantire il massimo rendimento in tutte le condizioni di funzionamento
•
Self Cleaning System
: esclusivo sistema di autopulizia totale sia del braciere che dei tubi di scambio
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 10.3 kW
Potenza termica diretta all'acqua: 9.5 kW
Rendimento alla potenza termica nominale: 96 %
Autonomia di funzionamento max: 45 h
Capacità serbatoio di alimentazione: 45 kg
Consumo orario pellet: 1 - 2.23 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
62 x 62 x 134 cm - 225 kg

Classe Energetica:
A++",Palazzetti,https://cdn.palazzetti.it/website/pim/variante/47757.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/acqua/dado-acciaio-bianco-dado-10-acqua-e-aria,Stufa a pellet Ecofire Dadò Idro 9N acqua,N/A
"Descrizione:
• realizzata in metallo con rivestimento in ceramica
• ampio vetro ceramico per una suggestiva visione della fiamma
• focolare in
Magnofix
®
che ottimizza l'irraggiamento

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 10.99 kW
Potenza termica nominale: 9.7 kW
Rendimento alla potenza termica nominale: 88.3 %
Diametro uscita fumi: ø 15 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
58 x 50 x 106 cm - 160 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/239.jpeg,https://palazzetti.it/prodotti/stufe-a-legna/aria/elisa-ceramica-rosso-bordeaux-9-7-kw-aria-irraggiamento,Stufa a legna Elisa aria,N/A
"Descrizione:
•

Dimensioni:
182 x 75 x 92 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/888.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/angel,Rivestimento moderno Angel,N/A
"Descrizione:
•

Dimensioni:
144 x 84 x 88 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/912.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/new-castle-senza-trave,Rivestimento moderno New Castle senza trave,N/A
"Descrizione:
•

Dimensioni:
151 x 85 x 96 cm - undefined kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/49975.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/rivestimento-auckland,Rivestimento Auckland,N/A
"Descrizione:
• stufa a pellet con la possibilità di prelevare l’aria comburente direttamente dall’esterno
• rivestimento in acciaio verniciato stondato
• vetro ceramico (800°) con sistema di auto pulizia
•
Balanced Door
, porta con sistema autobilanciante
• uscita aria calda frontale
• ventilatore regolabile su più velocità con tecnologia
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• scambiatore ad alta efficienza a tubi di fumo
• braciere in ghisa ad alte prestazioni
• ampio cassetto di raccolta cenere e sistema
Speedy Clean
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 8.2 kW
Rendimento alla potenza termica nominale: 89.5 %
Autonomia di funzionamento max: 29 h
Capacità serbatoio di alimentazione: 16 kg
Consumo orario pellet: 0.56 - 1.95 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
53 x 46 x 102 cm - 93 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/40875.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/milu-acciaio-bianco-8-2-kw-aria-ventilata-0-speed-fan,MILÙ 8,N/A
"Descrizione:
•

Dimensioni:
96 x 203 x 96 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/2745.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/kos,Rivestimento moderno Kos,N/A
"Descrizione:
• focolare in
Thermofix
®
• solido sistema di scorrimento dell’anta che facilita e rende più fluida l’apertura della porta
• apertura per pulizia vetro a ribalta (40°)
• riscaldamento a convezione naturale e irraggiamento
• bocchette regolabili con raccordi e prolunga flessibile
• cassetto cenere estraibile
• valvola di by-pass fumi all’apertura dell’anta
• gestione e controllo della combustione in modo preciso attraverso la regolazione dell’aria primaria/secondaria
• possibilità di prelevare l’aria comburente direttamente dall’esterno

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 17.2 kW
Potenza termica nominale: 14.7 kW
Rendimento alla potenza termica nominale: 85.2 %
Diametro uscita fumi: ø 20 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
77 x 61 x 171 cm - 268 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design_mobile/50556.jpeg,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-wt/ecomonoblocco-wtx-70-frontale-thermofix-wtx70-f-aria-irraggiamento-aria-canalizzabile-aria-0-speed-fan,Ecomonoblocco WTX70,N/A
"Descrizione:
•

Dimensioni:
135 x 84 x 88 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/896.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/auronzo,Rivestimento moderno Auronzo,N/A
"Descrizione:
•
stufa ermetica
con la possibilità di prelevare l’aria comburente direttamente dall’esterno
• elegante forma circolare con rivestimento in acciaio verniciato
• porta con doppio vetro
•
Balanced Door
, porta con sistema autobilanciante
• ventilatore regolabile su più velocità con tecnologia
Zero Speed Fan
(esclude la ventilazione aumentando il comfort acustico e favorisce una diffusione di calore naturale)
• pannello digitale con controllo a sfioramento
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• predisposizione per
Connection Box
• tecnologia T3 a 4 tubi di fumo di diametro maggiorato ad alta efficienza e pulizia semplificata
•
Complete Burning System
: sistema di combustione totale con minima produzione di cenere
•
Self Cleaning System
: esclusivo sistema di pulizia automatica del braciere
• ampio cassetto cenere e sistema
Speedy Clean
di nuova generazione con accesso frontale alla pulizia del giro fumi
• sistema
Quick Start
(riduce i tempi di accensione)
• sistema a
Stella
di caricamento del pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 9 kW
Rendimento alla potenza termica nominale: 89.5 %
Autonomia di funzionamento max: 39 h
Capacità serbatoio di alimentazione: 22 kg
Consumo orario pellet: 0.57 - 2.08 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
53 x 53 x 110 cm - 99 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/50431.jpeg,https://palazzetti.it/prodotti/stufe-a-pellet/aria/emily-acciaio-bianco-9-kw-pro2-aria-canalizzabile-aria-ventilata-0-speed-fan,Stufa a pellet Ecofire Emily 9 Pro2,N/A
"Descrizione:
•

Dimensioni:
220 x 92 x 97 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/45080.jpeg,https://palazzetti.it/prodotti/rivestimenti/moderno/trieste,Trieste,N/A
"Descrizione:
• inserto a pellet ad aria
•
Balanced Door
, porta con sistema autobilanciante
• coperchio con predisposizione per sistema di caricamento
• piedistallo
• ventilatore da 680m
3
/h per la canalizzazione dell’aria calda
• display digitale per la gestione delle impostazioni e dei parametri di funzionamento
• programmatore digitale per la gestione delle fasce orarie di funzionamento
• predisposizione per
Connection Box
• sensore di livello pellet

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 12.5 kW
Rendimento alla potenza termica nominale: 87.1 %
Autonomia di funzionamento max: 29 h
Capacità serbatoio di alimentazione: 23 kg
Consumo orario pellet: 0.8 - 2.95 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
78 x 65 x 100 cm - 160 kg

Classe Energetica:
A+",Palazzetti,https://cdn.palazzetti.it/website/pim/design/36059.jpeg,https://palazzetti.it/prodotti/caminetti-a-pellet/aria/inserto-canalizzabile-ac78-acciaio-nero-ac78-aria-canalizzabile,INSERTO AC78,N/A
"Descrizione:
•

Dimensioni:
187 x 125 x 154 cm - 0 kg",Palazzetti,https://cdn.palazzetti.it/website/pim/design/704.jpeg,https://palazzetti.it/prodotti/rivestimenti/country/valbadia,Rivestimento country Valbadia,N/A
