marca,nome,descrizione,image url,product url
Appiani,EDEN,"Esagonineè un mosaico in gres porcellanato della collezione Eden. Rappresenta un prodotto che unisce tradizione e innovazione, con una riedizione delle “forme"" esagonali nel mosaico ceramico nel nuovo supporto in gres porcellanato. Fonte di ispirazione per la nuova collezione è stato il pavimento del Teatro Eden di Treviso, inaugurato il 5 gennaio 1911. Un esempio di architettura Liberty, nonché ambizioso progetto dell'industriale Graziano Appiani, fondatore dell'omonima Ceramica Appiani 1873. Alla base della collezione Eden, il concept e la capacità progettuale e innovativa di Appiani. Una collezione di piastrelle in mosaico ceramico sviluppato in 18 colori di toni tenui e polverosi in versione sia lucida che opaca rigorosamente ottenuti mediante la tecnologia esclusiva dello stabilimento Appiani, la monopressocottura, una tecnica produttiva che consente di ottenere prodotti ceramici i cui smalti e argille vengono pressati a secco. L’elevata temperatura di cottura garantisce al prodotto eccezionali qualità di durata, di resistenza e ingelività ideali per molteplici applicazioni a pavimento e a rivestimento, sia in interno che in esterno. La collezione Eden di Appiani propone un mosaico montato su rete in fogli 30×30cm, con le tessere nel formato 2,4x2,8cm che sono considerate un intramontabile evergreen di geometria esagonale che a nido d' ape caratterizzano la nuova collezione in gres porcellanato di Appiani.
Modulo / Module: 30 x 30 cmTessera / Tesserae: 2.4 x 2.8 cm",https://img.edilportale.com/product-thumbs/b_Appiani_EDEN_w8GdoeCeUg.jpeg,https://www.edilportale.com/prodotti/appiani/mosaico-in-gres-porcellanato/eden_667914.html
Appiani,LAPIS,"Texture unisce l'architettura al design e all'arte. Una storia raccontata dai mosaici, piccole tessere di ceramica smaltata dai colori puri. Mosaici che accolgono la luce e la riflettono per moltiplicare la loro immagine e creare superfici e campi multicolori.Il mondo delle pietre naturali ispira l’origine del mosaico Lapis, parola eterna che ricorda le più antiche costruzioni della storia. Resistente, preziosa, durevole: Appiani sceglie la pietra per le sue qualità intrinseche e la riproduce in grès porcellanato, seguendo una perfetta modularità con tutte le collezioni esistenti.L’effetto pietra di Lapis, evocato dai colori naturali e dalla plasticità della materia, viene immaginato per ogni spazio indoor e outdoor e arreda naturalmente ogni ambiente residenziale e wellness&pool, garantendo inoltre protezione antibatterica grazie alla finitura Bio Shield+. Il risultato è scultoreo e inaspettato proprio come le pietre naturali più sorprendenti. Lapis è l’espressione libera con cui narrare una storia, intima, raccolta, come quella della nostra casa. Le nuove tessere di mosaico in grès porcellanato della collezione LAPIS mantengono le stesse dimensioni del catalogo ceramico di Appiani, per garantire modularità e coerenza con le collezioni esistenti lavorate in pasta rossa. Con Appiani, funzionalità e performance si saldano a un’estetica evoluta e a una bellezza senza compromessi in termini di colori e finiture: una ceramica senza tempo.Dallo straordinario potere battericida, anti muffa e fungicida, Appiani BIO SHIELD+ garantisce una costante azione protettrice in qualsiasi condizione di temperatura e luce, senza bisogno di attivazione attraverso i raggi UV, e resiste agli agenti chimici e agli acidi presenti nei disinfettanti e nei detergenti più comuni.Articolo venduto in confezioni da 14 fogli 30x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_lapis-appiani-552947-relb948842e.jpg,https://www.edilportale.com/prodotti/appiani/mosaico-antibatterico-in-gres-porcellanato/lapis_552947.html
Appiani,REGOLOTTO,"Nato dal pensiero di Appiani, storico marchio italiano fondato a Treviso nel 1873,Regolottoguarda al materiale ceramico di Appiani da una prospettiva nuova, fresca, pulita, in un bilanciamento armonico di forme, funzioni, espressioni cromatiche.Duttile, universale, pragmatico, maturo, Regolotto è l’emblema del quadrato che procede per multipli ricomponendo segni leggeri e, insieme, di carattere. Regolotto è l’evoluzione naturale di Regolo e della sua raffinata sensibilità.Della stessa materia e con le medesime cromie della collezione Regolo, Regolotto comunica la sua bellezza attraverso un linguaggio compositivo basato sul quadrato (15x15 cm), forma geometrica regolare, rigorosa, semplice, perfetta. Regolotto esplora il minimalismo delle superfici ceramiche dando origine a moltiplicazioni potenzialmente infinite con la gamma dei prodotti Appiani.Dalla chiara vocazione architetturale, Regolotto è uno strumento di progetto dal potenziale infinito, concepito come parte integrante di un sistema composito, versatile e articolato di ceramiche e mosaici, come il catalogo Appiani. Regolotto, realizzato in grés smaltato in pasta bianca, si sposa ad applicazioni per il residenziale, il retail e l’hospitality. Il formato 15x15 cm, spessore 7mm, garantisce una perfetta modularità con le collezioni di mosaico Appiani, in 1,2x1,2 cm e 2,5x2,5 cm e 5x10 cm. La palette, con cromie passepartout, è formata da 9 tinte – Panno, Iridescent, Lunaria, Ardesia, Ossido, Ceruleo, Cipria, Mattone, Tanè, Tabacco – in finitura ultra matte materica disponibile nella versione flat o in quella texturizzata tatami.Regolotto si affianca alla precedente collezione Regolo per valorizzare con eleganza minimale e contemporanea ogni rivestimento e pavimento di interni.Articolo venduto in confezioni da 56 pezzi 15x15 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_regolotto-appiani-553301-rela2455e79.jpg,https://www.edilportale.com/prodotti/appiani/rivestimento-in-gres-smaltato/regolotto_553301.html
Appiani,REGOLO,"Flessibile, onirico, durevole, tattile,Regoloè un sistema di prodotto essenziale che si compone e scompone in proporzioni e simmetrie. Regolo guarda al materiale ceramico di Appiani da una prospettiva nuova, fresca, pulita, in un bilanciamento armonico di forme, funzioni, espressioni cromatiche.Con Regolo la ricerca di Appiani esplora superfici piane e geometrie strutturate che mantengono una loro enigmatica possibilità di interpretazione. La finitura opaca Ultramatte mette in risalto la matericità delle superfici piane, il valore dell’essenziale,della purezza, come un invito alla meditazione e alla libertà creativa. Le nove tinte, Panno, Lunaria, Ardesia, Ossido, Ceruleo, Cipria, Mattone, Tanè e Tabacco, regalano un tocco leggero e morbidi giochi di luci.  Lo spessore di 7,2 mm ed il formato 7,5 x 30 cm garantiscono una perfetta modularità con le collezioni di mosaico Appiani in 1,2 x 1,2 cm, 2,5 x 2,5 cm e 5 x 10 cm. La versione Flat rappresenta il naturale fondo di ogni collezione Appiani, mentre quelle Textured garantiscono abbinamenti unici nel loro genere. Dalla chiara vocazione architetturale, Regolo, realizzato in grès smaltato in pasta bianca, si sposa ad applicazioni per il residenziale, il retail e l’hospitality. Oltre alla versione Flat, con superficie piana e uniforme, Regolo è anche Textured con strutture a rilievo: Domino 50 e 100, Tatami e Bamboo.Caratteristiche TecnicheTipologia: Grès smaltato in pasta biancaFormato: 7,5x30 cm, spessore 7,2 mmSuperficie: opaca satinataGamma: 9 coloriArticolo venduto in confezioni da 56 pezzi 7.5x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_regolo-appiani-408653-rel7abcb0cd.jpg,https://www.edilportale.com/prodotti/appiani/rivestimento-in-gres-porcellanato-smaltato-per-interni/regolo_408653.html
Appiani,DENIM COLORI,"La collezione Colore racchiude al proprio interno collezioni per interno ed esterno, caratterizzate da colori naturali con superficie lucida o satinata o ad effetto metallico, che unitamente alle miscele e alle finiture antisdrucciolo, ne permettono l’utilizzo anche in prossimità di ambienti umidi come piscine, centri termali e SPA.Il mosaico Appiani è realizzato con la tecnica della monopressocottura che consente di ottenere piastrelle ceramiche di piccole dimensioni caratterizzate da eccezionali qualità estetiche, di durata e resistenza del prodotto. La planarità delle tessere e la loro leggera stondatura dei bordi rendono il prodotto liscio e gradevole al tatto facilitandone anche la pulizia e l’igiene.Crediti leed: Prodotto ecosostenibile e realizzato con un processo produttivo a ciclo chiuso con un contenuto di materiale riciclato del 20%.Destinazione d'us è ideale per l’utilizzo da pavimento e rivestimento in ambienti residenziali interni come living, cucine, bagni, camere da letto e per l’utilizzo in spazi commerciali (leggero).Iconico, robusto, flessibile, senza tempo. Il mosaico effetto Denim, è fuori registro, pronto a sorprendere e a diventare una nuova forma di espressione. Sublimando e aggiornando le caratteristiche uniche che ne fanno da sempre un’icona dello stile, per tutti. La materia è impressa con una finitura inedita e innovativa, adatta a pavimentazioni e rivestimenti. L’essenza del filato del jeans è rielaborata attraverso tre decori in mosaico – Striato, Ondulato, Sfilato – ognuno sviluppato con due diverse varianti, con distinti movimenti e cromie. A cambiare sono le inclinazioni, il rapporto tra trama e ordito, la regolarità del rigato e degli intrecci.Caratteristiche TecnicheTipologia: mosaico in monopressocotturaFormato: 1,2x1,2 cm, spessore 7,2 mm montato su rete 30x30cmSuperficie: opacaArticolo venduto in confezioni da 14 fogli 30x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_denim-colors-appiani-349197-rel374691a7.jpg,https://www.edilportale.com/prodotti/appiani/mosaico-in-ceramica/denim-colori_349197.html
Appiani,DENIM DECORI,"Texture unisce l'architettura al design e all'arte. Una storia raccontata dai mosaici, piccole tessere di ceramica smaltata dai colori puri. Mosaici che accolgono la luce e la riflettono per moltiplicare la loro immagine e creare superfici e campi multicolori.Iconico, robusto, flessibile, senza tempo. Il mosaico effetto Denim, è fuori registro, pronto a sorprendere e a diventare una nuova forma di espressione. Sublimando e aggiornando le caratteristiche uniche che ne fanno da sempre un’icona dello stile, per tutti. La materia è impressa con una finitura inedita e innovativa, adatta a pavimentazioni e rivestimenti. L’essenza del filato del jeans è rielaborata attraverso tre decori in mosaico – Striato, Ondulato, Sfilato – ognuno sviluppato con due diverse varianti, con distinti movimenti e cromie. A cambiare sono le inclinazioni, il rapporto tra trama e ordito, la regolarità del rigato e degli intrecci.Caratteristiche TecnicheTipologia: mosaico in monopressocotturaFormato: 1,2x1,2 cm, spessore 7,2 mm montato su rete 30x30cmSuperficie: opacaArticolo venduto in confezioni da 14 fogli 30x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_denim-decori-appiani-349117-rel37acb46b.jpg,https://www.edilportale.com/prodotti/appiani/mosaico-in-ceramica/denim-decori_349117.html
Appiani,DENIM MIX,"Le miscele di mosaico ceramico Appiani Mix sono prodotte in monopressocottura, la tecnica che unisce lo smalto all’argilla mediante la pressatura a secco. Le serie Anthologhia, Seta, Metallica e Open Space si incontrano secondo percentuali calibrate creando innumerevoli miscele raccolte per affinità emotiva nelle collezioni Styling, Wellness, Outdoor e Architecture. Con risultati inediti e sorprendenti uniscono effetti di luce e di finitura in un affascinante caleidoscopio di idee, tutte intercambiabili, utilizzabili sia a pavimento che a rivestimento.Crediti leed:Prodotto ecosostenibile e realizzato con un processo produttivo a ciclo chiuso con un contenuto di materiale riciclato del 20%.Iconico, robusto, flessibile, senza tempo. Il mosaico effetto Denim, è fuori registro, pronto a sorprendere e a diventare una nuova forma di espressione. Sublimando e aggiornando le caratteristiche uniche che ne fanno da sempre un’icona dello stile, per tutti. La materia è impressa con una finitura inedita e innovativa, adatta a pavimentazioni e rivestimenti. L’essenza del filato del jeans è rielaborata attraverso tre decori in mosaico – Striato, Ondulato, Sfilato – ognuno sviluppato con due diverse varianti, con distinti movimenti e cromie. A cambiare sono le inclinazioni, il rapporto tra trama e ordito, la regolarità del rigato e degli intrecci.Caratteristiche TecnicheTipologia: mosaico in monopressocotturaFormato: 1,2x1,2 cm, spessore 7,2 mm montato su rete 30x30cmSuperficie: opacaArticolo venduto in confezioni da 14 fogli 30x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_denim-mix-appiani-349198-relf7b1eb70.jpg,https://www.edilportale.com/prodotti/appiani/mosaico-in-ceramica/denim-mix_349198.html
Appiani,METRICA,"Texture unisce l'architettura al design e all'arte. Una storia raccontata dai mosaici, piccole tessere di ceramica smaltata dai colori puri. Mosaici che accolgono la luce e la riflettono per moltiplicare la loro immagine e creare superfici e campi multicolori.In apparenza sono la ricorrenza periodica, il flusso regolare e armonico degli elementi geometrici a dettare il ritmo diMetrica. In realtà, la modulazione è sottile, intermittente, imprevedibile: la linearità della geometria si interrompe e si movimenta con battute e cadenze, fatte di luce e colori. L'alternanza di accenti è guidata da uno schema, che genera e definisce nuove composizioni. I 4 decori di Metrica, declinati in 4 varianti di colore, infatti derivano il proprio nome essenziale ed esplicito — Cerchi, Incroci, Trattini, Parallele — dalle geometrie che si vengono naturalmente a creare affiancando tra loro più moduli. Accostando i moduli Cerchi si ottiene una circonferenza; reti e intersezioni sono generate dai moduli Incroci; i moduli Trattini e Parallele, infine, compongono un movimento di rette, diagonali, angoli.Caratteristiche TecnicheTipologia: mosaico in mono   monopressocotturaFormato: 1,2x1,2 cm, spessore 7,2 mm montato su rete 30x30cmSuperficie: opaca satinata, lucida e MetallicaGamma: 4 collezioni di decoriArticolo venduto in confezioni da 12 fogli 30x30 per un totale di 1,08 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_metrica-appiani-314728-rel8c300fb2.jpg,https://www.edilportale.com/prodotti/appiani/mosaico-in-ceramica/metrica_314728.html
Appiani,LIBRA,"Il mosaico ceramico Appiani possiede caratteristiche tecniche ed estetiche che lo rendono unici smalti pregiati e argille di provenienza italiana, precedentemente atomizzati, vengono uniti tra loro per compenetrazione attraverso pressatura a secco. Il prodotto finale è una piastrella di piccolissime dimensioni, paragonabile ad una tessera di mosaico, estremamente resistente agli urti, all'abrasione e al gelo, ideale per pavimenti e rivestimenti, all'interno o all'esterno di un'abitazione o per la decorazione di superfici e volumi. Il classico mosaico per bagno diventa elemento tecnico-estetico acquisendo anche la connotazione di mosaico per piscine e aree wellness o per la pavimentazione di vialetti di accesso o per decorazione di cucine.Crediti leed:  Prodotto ecosostenibile e realizzato con un processo produttivo a ciclo chiuso con un contenuto di materiale riciclato del 20%.Lo stile è nell’aria come atmosfera, come concetto prima che come forma. È un design che cerca l’essenza, dal gusto intramontabile. Esaltazione delle linee, plasticità, cura del dettaglio. Un’attenta ricerca del particolare dà vita a Libra, dove gli accostamenti, i contrasti e le armonie nascono da un uso inedito, quasi mascherato, delle geometrie irregolari. I moduli, accostati in un flusso randomico, generano effetti di chiaroscuri, giochi di luci e ombre. Libra aggiunge una nuova dimensione alle superfici, facendole vibrare sotto l’effetto di leggeri spostamenti. Le due categorie di colori e finiture regalano un tocco liscio o ruvido in perfetta simbiosi con la materia e la sostanza di Libra – duttile e sorprendente – come la costellazione della Bilancia che le dà nome.Caratteristiche TecnicheTipologia: ceramica in monopressocotturaFormato: 5x10 cm bisellato, spessore 7,2 mm, montato sfalsato su rete 37x30cmSuperficie: Opaca metallica, leggermente materica al tattoGamma: 6 colori satinati, 3 colori metallici.Articolo venduto in confezioni da 14 fogli 37x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_libra-appiani-314732-rel77fcea0.jpg,https://www.edilportale.com/prodotti/appiani/rivestimento-in-ceramica-monopressocottura/libra_314732.html
Appiani,WELLNESS&POOL MIX,"Le miscele di mosaico ceramico Appiani Mix sono prodotte in monopressocottura, la tecnica che unisce lo smalto all’argilla mediante la pressatura a secco. Le serie Anthologhia, Seta, Metallica e Open Space si incontrano secondo percentuali calibrate creando innumerevoli miscele raccolte per affinità emotiva nelle collezioni Styling, Wellness, Outdoor e Architecture. Con risultati inediti e sorprendenti uniscono effetti di luce e di finitura in un affascinante caleidoscopio di idee, tutte intercambiabili, utilizzabili sia a pavimento che a rivestimento.Crediti leed:Prodotto ecosostenibile e realizzato con un processo produttivo a ciclo chiuso con un contenuto di materiale riciclato del 20%.WELLNESS&POOLè una delle miscele di mosaico di Appiani.Le miscele di mosaico ceramico Appiani Mix sono prodotte in monopressocottura, la tecnica che unisce lo smalto all'argilla mediante la pressatura a secco. Le serie Anthologhia, Seta, Metallica e Open Space si incontrano secondo percentuali calibrate creando innumerevoli miscele raccolte per affinità emotiva nelle collezioni Styling, Wellness, Outdoor e Architecture. Con risultati inediti e sorprendenti uniscono effetti di luce e di finitura in un affascinante caleidoscopio di idee, tutte intercambiabili, utilizzabili sia a pavimento che a rivestimento.Miscele completamente personalizzabili con il software aziendale Appiani My MixDestinazione d'uso: è ideale per l’utilizzo in ambienti residenziali interni come living, cucine, bagni, camere da letto e per l’utilizzo in spazi commerciali (leggero).Materiale: Mosaico in monopressocottura ad elevata resistenza all'abrasione (PEI V)Dimensione foglio: cm 30x30 12""x12""  montato su reteDimensione tessera: cm 1,2x1,2cm - 1/2""x1/2"" - cm 2,5x2,5 - 1""x1""Pezzi speciali e jolly: disponibiliDati Tecnici: Piastrelle di ceramica pressate a secco ottenute con procedimento di monopressocottura, a basso assorbimento d’acqua 0,5% < E ≤3% Gruppo B1b - M - GL - EN 14411 appendice H (formati 1,2x1,2 - 2,5x2,5 - 2,5x5 - 5x5 - 10x10 - 7,5x15). Cottura a ciclo lento. Resistenti al gelo.Articolo venduto in confezioni da 14 fogli 30x30 per un totale di 1,26 mq.Prezzo al mq.",https://img.edilportale.com/product-thumbs/b_wellness-pool-mix-appiani-50522-rel4ca564f.jpg,https://www.edilportale.com/prodotti/appiani/rivestimento-piscine-in-ceramica/wellness-pool-mix_50522.html
